AAV,start,end,Sample,guppy_01,guppy_02,nanopolish_01,nanopolish_02,megalodon_01,megalodon_02,deepsignal_01,deepsignal_02,annotation,guppy_03,nanopolish_03,megalodon_03,deepsignal_03
CMV,2002,2003,liver,4.545454545454549,4.05405405405405,0,0,2.4,1.1,0,0,ITR2_left,NA,NA,NA,NA
CMV,2004,2005,liver,4.347826086956521,7.954545454545451,0,0,2.4,7.75,0,1.25,ITR2_left,NA,NA,NA,NA
CMV,2008,2009,liver,4.347826086956521,5,0,0,0,0,0,1.2,ITR2_left,NA,NA,NA,NA
CMV,2012,2013,liver,2.38095238095238,3.84615384615385,0,0,0,4.3,7.1499999999999995,0,ITR2_left,NA,NA,NA,NA
CMV,2025,2026,liver,2,2.4702380952381,9.920634920634921,11.554621848739501,2.5,1.8,6.25,0.8999999999999999,ITR2_left,NA,NA,NA,NA
CMV,2029,2030,liver,10.545454545454499,8.496732026143789,9.920634920634921,11.554621848739501,8.9,6.8,0,0.8999999999999999,ITR2_left,NA,NA,NA,NA
CMV,2040,2041,liver,10.4166666666667,10.2108036890646,16.3636363636364,21.3053263315829,9.95,4.2,1.9,0,ITR2_left,NA,NA,NA,NA
CMV,2044,2045,liver,8.52272727272727,13.469387755102,16.3636363636364,21.3053263315829,5.05,5.2,3.85,3.45,ITR2_left,NA,NA,NA,NA
CMV,2047,2048,liver,16.5064102564103,8.958566629339309,16.3636363636364,21.3053263315829,11.05,6.05,3.85,3.35,ITR2_left,NA,NA,NA,NA
CMV,2051,2052,liver,2.5,9.27002583979328,16.3636363636364,21.3053263315829,5.55,2.5,5.75,4.2,ITR2_left,NA,NA,NA,NA
CMV,2062,2063,liver,10.620689655172399,4.08695652173913,2.5,7.638888888888889,7.5,3.75,10.85,8.200000000000001,ITR2_left,NA,NA,NA,NA
CMV,2066,2067,liver,8.57245337159254,6.26582278481013,2.5,7.638888888888889,10,2.25,22,12.950000000000001,ITR2_left,NA,NA,NA,NA
CMV,2079,2080,liver,5.18707482993197,4.00396151669496,5.35714285714286,5.84707646176912,1.3,2.45,0,2.6,ITR2_left,NA,NA,NA,NA
CMV,2083,2084,liver,5.95238095238095,3.7461300309597503,5.35714285714286,5.84707646176912,0,0.55,0,0,ITR2_left,NA,NA,NA,NA
CMV,2087,2088,liver,7.386363636363639,4.33354192740926,5.35714285714286,5.84707646176912,7.5,6.45,0.8500000000000001,0,ITR2_left,NA,NA,NA,NA
CMV,2089,2090,liver,0.862068965517241,8.83367399080225,5.35714285714286,5.84707646176912,3.35,4.65,0,0,ITR2_left,NA,NA,NA,NA
CMV,2147,2148,liver,5.68708183221822,6.8036036036036,15.6944444444444,12.3254401942927,4,5.6,9.700000000000001,18.65,NA,NA,NA,NA,NA
CMV,2165,2166,liver,9.838709677419349,3.29994863893169,10.507246376811601,7.459677419354841,4.2,4.25,5.65,10.2,NA,NA,NA,NA,NA
CMV,2190,2191,liver,8.29710144927536,6.588628762541809,26.2962962962963,16.4075286415712,1.2,0.45,20.95,12.45,NA,NA,NA,NA,NA
CMV,2230,2231,liver,2.41698501322363,2.83511326085915,1.21951219512195,0,3,3.15,2.25,4.7,CMV_church,NA,NA,NA,NA
